순번,ID,제품군,세부 유형,브랜드,정확한 제품명,현재 판정,완제품 제조국,국내 판매 상태,대상 월령,월령 근거,KC 대상 여부,KC 인증번호,확인 플랫폼,확인일,판정·검증 사유,출처 URL,데이터 품질,누적 이력,대시보드 그룹,적용 안전제도,규제 기준 메모,사용자 판정명,재검증 상태,KC 인증상태,KC 인증일자,KC 인증변경일자,KC 인증변경사유,KC 인증구분,KC 인증기관,Safety Korea 상세 URL,KC 품목명,KC 모델명,KC 제조사,KC 수입업체,연관 인증번호,duplicateOf,canonicalProductId
326,MASTER-0131,수유용품,젖병,하이비,PPSU 에잇벤트 170ml,보류,대한민국 🇰🇷,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,KC 비대상,,과거 누적 Master DB,2026-09-02,"2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했다. 이 제품군에는 어린이제품 KC 번호를 일괄 적용하지 않고, 해당 법령의 제조국·제조사/수입사·안전제도 공식 근거를 추가 확인할 때까지 보류한다. https://prod.danawa.com/info/?pcode=77318630","https://prod.danawa.com/info/?pcode=77318630
https://kidikidi.elandmall.co.kr/i/item?itemNo=2209272720&lowerVendNo=LV21031240
https://www.enuri.com/detail.jsp?modelno=119055535",추가 확인 필요,2026-08-04 원본 압축 DB 복원 · 포함 판정 유지 | 2026-08-04 전 제품 KC 근거 정책 적용 · 포함 → 보류 · Safety Korea 동일 모델 재검증 시작,젖병,식품위생법상 기구·용기·포장 기준 우선 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,법령별 비KC 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0131
327,MASTER-0132,수유용품,젖병,하이비,PPSU 에잇벤트 트리플팩,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,KC 비대상,,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://www.salefinder.co.kr/products/712558,"https://www.salefinder.co.kr/products/712558
https://hibeekorea.com/product/%ED%95%98%EC%9D%B4%EB%B9%84-ppsu-%EC%97%90%EC%9E%87%EB%B2%A4%ED%8A%B8-%EB%B0%B0%EC%95%93%EC%9D%B4%EB%B0%A9%EC%A7%80-%EC%A0%96%EB%B3%91-270ml-%ED%8A%B8%EB%A6%AC%ED%94%8C%ED%8C%A9-%EB%B4%84%EC%97%90%EB%94%94%EC%85%98-%EB%B3%BC%EB%B9%B5%EA%B3%B0/177/
https://hibeekorea.com/product/%ED%95%98%EC%9D%B4%EB%B9%84-ppsu-%EC%97%90%EC%9E%87%EB%B2%A4%ED%8A%B8-%EB%B0%B0%EC%95%93%EC%9D%B4%EB%B0%A9%EC%A7%80-%EC%A0%96%EB%B3%91-170ml-%ED%8A%B8%EB%A6%AC%ED%94%8C%ED%8C%A9/179/
https://paradbel.com/%ED%95%98%EC%9D%B4%EB%B9%84-ppsu-%EC%97%90%EC%9E%87%EB%B2%A4%ED%8A%B8-%EC%9B%90%ED%84%B0%EC%B9%98-%EB%B9%A8%EB%8C%80%EC%BB%B5-170ml-%EB%B3%BC%EB%B9%B5%EA%B3%B0-%EC%B4%88%EC%BD%94%EB%B8%8C%EB%9D%BC/
https://newsmeta.kr/8937/
https://drseoauto.github.io/shopping/2024/01/18/Must-item-%ED%95%98%EC%9D%B4%EB%B9%84-%EB%A7%8C%EC%A1%B1%EB%8F%84-%EB%86%92%EC%9D%80-%EC%A0%9C%ED%92%88-%EC%83%81%EC%9C%84-10%EA%B0%9C-%EC%B6%94%EC%B2%9C.html
https://hibeekorea.com/product/%ED%95%98%EC%9D%B4%EB%B9%84-ppsu-%EC%97%90%EC%9E%87%EB%B2%A4%ED%8A%B8-%EB%B0%B0%EC%95%93%EC%9D%B4%EB%B0%A9%EC%A7%80-%EC%A0%96%EB%B3%91-170ml-%ED%8A%B8%EB%A6%AC%ED%94%8C%ED%8C%A9-%EC%97%AC%EB%A6%84%EC%97%90%EB%94%94%EC%85%98-%EC%95%BC%EC%9E%90%EC%88%98/36/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,젖병,식품위생법상 기구·용기·포장 기준 우선 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0132
328,MASTER-0133,구강·치발기,치발기,모윰,스윙버드 손목 치발기,보류,미확인 ❓,구매 기능 확인 불가,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,CB061A322-0001,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://www.moyuum.com/_vir0001/process/shopmain.asp?iniCategory=1339&thisCategory=1350,"https://www.moyuum.com/_vir0001/process/shopmain.asp?iniCategory=1339&thisCategory=1350
https://prod.danawa.com/info/?pcode=20832338
https://m.moyuum.com/views/shop/shopview?pack_content_id=16375
https://pikupdeal.tistory.com/entry/%EB%AA%A8%EC%9C%B0-%EC%86%90%EB%AA%A9-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EC%8D%A8%EB%B3%B4%EB%8B%88%E2%80%A6-%EB%8B%A4%EB%A5%B8-%EC%B9%98%EB%B0%9C%EA%B8%B0%EB%9E%91-%EB%AD%90%EA%B0%80-%EB%8B%AC%EB%9D%BC-%EC%86%94%EC%A7%81-%EB%B9%84%EA%B5%90-%ED%9B%84%EA%B8%B0
https://www.moyuum.com/_vir0001/process/shopmain.asp?thisCategory=1124",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB061A322-0001,,,모윰,,,,MASTER-0133
329,MASTER-0134,구강·치발기,치발기,심통,토이링 종이·나무 배합 고리 치발기,보류,미확인 ❓,이전 조사 기준 · 현재 판매 재검증 필요,확인 중,과거 누적 공식 월령 재검증 필요,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0134
330,MASTER-0135,구강·치발기,링형,앙쥬,베스트 치발기 오렌지링,보류,대한민국 🇰🇷,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,CB065B0002-9001R,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://www.kurly.com/goods/1001396453,"https://www.kurly.com/goods/1001396453
https://mom-mom.net/shop/products/131782566
https://bestgoodnice.com/%EC%95%99%EC%A5%AC-%EC%B9%98%EB%B0%9C%EA%B8%B02%EC%A2%85%EC%84%B8%ED%8A%B8-%EB%B0%94%EB%82%98%EB%82%98%ED%8C%94%EC%B0%8C-%EB%B0%94%EB%82%98%EB%82%98%ED%8C%94%EC%B0%8C-%EC%9B%90%EC%88%AD%EC%9D%B4/
https://linklabblog.kr/%EC%95%99%EC%A5%AC%EC%B9%98%EB%B0%9C%EA%B8%B0-2%EC%A2%85-%EC%84%B8%ED%8A%B8-%EC%95%84%EA%B8%B0-%EC%B2%AB-%EC%B9%98%EB%B0%9C%EA%B8%B0%EB%A1%9C-%EA%B4%9C%EC%B0%AE%EC%9D%84%EA%B9%8C-%EC%A7%81%EC%A0%91/
https://angemall.com/
https://www.coupang.com/vp/products/8272631902
https://www.safetykorea.kr/release/certDetail?certNum=CB065B0002-9001r",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-15 중복 활성 행 삭제 병합 · TEETHER-20260801-026 → MASTER-0135,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,앙쥬 베스트 치발기 오렌지링,미확인,,,,MASTER-0135
331,MASTER-0136,구강·치발기,치발기,앙쥬,완두콩링 치발기,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://angemall.com/product/%EF%B8%8F%EC%8B%A0%EA%B7%9C%EA%B0%80%EC%9E%85-%EC%B2%AB%EA%B5%AC%EB%A7%A4-5000%EC%9B%90-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-%EC%A6%9D%EC%A0%95%EF%B8%8F%EC%95%99%EC%A5%AC-%EC%9E%85%EC%88%A0-%EC%B9%98%EB%B0%9C%EA%B8%B0-2%EC%A2%85-%EC%84%B8%ED%8A%B8/2091/,"https://angemall.com/product/%EF%B8%8F%EC%8B%A0%EA%B7%9C%EA%B0%80%EC%9E%85-%EC%B2%AB%EA%B5%AC%EB%A7%A4-5000%EC%9B%90-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-%EC%A6%9D%EC%A0%95%EF%B8%8F%EC%95%99%EC%A5%AC-%EC%9E%85%EC%88%A0-%EC%B9%98%EB%B0%9C%EA%B8%B0-2%EC%A2%85-%EC%84%B8%ED%8A%B8/2091/
https://www.youtube.com/shorts/ew-zoNJjBak
https://angemall.com/product/%EC%95%99%EC%A5%AC-%EA%B3%BC%EC%9D%BC%EB%A7%81/2062/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,앙쥬 과일링,자체제작,,,,MASTER-0136
332,MASTER-0079,이유식·식기,유아식판,주니,에코젠 이유식기 식판 5종 + 쟁반 세트,보류,미확인 ❓,구매 기능 확인 불가,확인 중,과거 누적 공식 월령 재검증 필요,KC 비대상,,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/dT2RjuwFIkKS0BiRUH8nyr1oWZxQb5XA/,"https://fallcent.com/product/dT2RjuwFIkKS0BiRUH8nyr1oWZxQb5XA/
https://fallcent.com/product/OyFj8RmGpYIkNlf26UZMRna1TJ5LAFuH/
https://fallcent.com/product/vPM1B4iACGeubfWLPIT0ltvzxrnUg5DR/
https://joonie.kr/product/%EC%A3%BC%EB%8B%88-%EC%97%90%EC%BD%94%EC%A0%A0-%EA%B3%B0%EB%8F%8C%EC%9D%B4-%EC%9D%B4%EC%9C%A0%EC%8B%9D%EA%B8%B0-5%EC%A2%85-%EC%9C%A0%EC%95%84%EA%B7%B8%EB%A6%87-%EC%9C%A0%EC%95%84%EC%8B%9D%ED%8C%90/40/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,유아식판,식품위생법 · 식품용 기구 및 용기·포장 기준 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0079
333,MASTER-0137,구강·치발기,치발기,앙쥬,입술 치발기 + 예쁜곰 과즙망 세트,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://angemall.com/product/%EF%B8%8F%EC%8B%A0%EA%B7%9C%EA%B0%80%EC%9E%85-%EC%B2%AB%EA%B5%AC%EB%A7%A4-5000%EC%9B%90-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-%EC%A6%9D%EC%A0%95%EF%B8%8F%EC%95%99%EC%A5%AC-%EC%9E%85%EC%88%A0-%EC%B9%98%EB%B0%9C%EA%B8%B0-2%EC%A2%85-%EC%84%B8%ED%8A%B8/2091/,"https://angemall.com/product/%EF%B8%8F%EC%8B%A0%EA%B7%9C%EA%B0%80%EC%9E%85-%EC%B2%AB%EA%B5%AC%EB%A7%A4-5000%EC%9B%90-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-%EC%A6%9D%EC%A0%95%EF%B8%8F%EC%95%99%EC%A5%AC-%EC%9E%85%EC%88%A0-%EC%B9%98%EB%B0%9C%EA%B8%B0-2%EC%A2%85-%EC%84%B8%ED%8A%B8/2091/
https://angemall.com/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,[⭐️신규가입 첫구매 5000원 할인쿠폰 증정⭐️]앙쥬 입술 + 치발기 2종 세트,자체제작,,,,MASTER-0137
334,MASTER-0138,구강·치발기,치발기,앙쥬,치발기 3종 세트,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://angemall.com/product/%EC%95%99%EC%A5%AC-%EB%B2%A0%EC%8A%A4%ED%8A%B8-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EC%84%B8%ED%8A%B8/2056/,"https://angemall.com/product/%EC%95%99%EC%A5%AC-%EB%B2%A0%EC%8A%A4%ED%8A%B8-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EC%84%B8%ED%8A%B8/2056/
https://mom-mom.net/shop/products/131782566
https://todayhotdeal.com/products/72fb358e-f3ff-4a50-b333-c0160bdd3de8
https://angemom.com/
https://www.kurly.com/goods/1001396453",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,MASTER-0138
335,MASTER-0139,구강·치발기,치발기,티지엠,시그니처 고리 치발기 20개입,보류,미확인 ❓,구매 기능 확인 불가,확인 중,과거 누적 공식 월령 재검증 필요,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F60844744529,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F60844744529
https://search.shopping.naver.com/catalog/60844744529
https://tgmbaby.co.kr/category/all/90/?page=3",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,낮은가격,,,,,MASTER-0139
336,MASTER-0140,구강·치발기,치발기,퍼기,큐피드 손목 치발기,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,미확인,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://www.roochas.co.kr/product/fae89fe4-d2db-492b-890c-66f8e4b190ca,"https://www.roochas.co.kr/product/fae89fe4-d2db-492b-890c-66f8e4b190ca
https://peten.co.kr/hotdeal/4643
https://koreaidea.com/%ED%8D%BC%EA%B8%B0-%ED%81%90%ED%94%BC%EB%93%9C-%EC%86%90%EB%AA%A9-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EC%84%B8%ED%8A%B8-%EB%A6%AC%EB%B7%B0/
https://www.youtube.com/shorts/Rl6x48an6sQ
https://mom-mom.net/shop/showcases/69def9a4369b9ea8572e78f5",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,치발기,어린이제품 안전 특별법상 제품별 KC 확인,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,퍼기 큐피드 손목 치발기 세트,,,,,MASTER-0140
337,MASTER-0141,수유용품,트레이닝컵,에디슨,프리미엄 실리콘 트레이닝 컵,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,KC 비대상,,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://m.edisoni.kr/goods/goods_view.php?goodsNo=630&mtn=10%5E%7C%5E%ED%83%80%EC%9E%84%EC%84%B8%EC%9D%BC%5E%7C%5Ey,"https://m.edisoni.kr/goods/goods_view.php?goodsNo=630&mtn=10%5E%7C%5E%ED%83%80%EC%9E%84%EC%84%B8%EC%9D%BC%5E%7C%5Ey
https://www.elandmall.co.kr/i/item?itemNo=2206832586&lowerVendNo=LV21033354
https://kidikidi.elandmall.co.kr/i/item?itemNo=2206832586&lowerVendNo=LV21033354
https://www.edisoni.kr/
https://kidikidi.elandmall.co.kr/i/item?itemNo=2306316728
https://www.elandmall.co.kr/b/brand?brandNo=1600001489
https://onnuristore.com/goods/179575?inflow=GS
https://onnuristore.com/goods/179576
https://store.kakao.com/edisonmall/products/162998948
https://timing.im/product/9gXUwzJEPxHblP0a0euPbFJ-gFrI5GVKH89yshC60pc
https://landingpage.co.kr/product_detail.php?id=15897
https://edisoni.kr/goods/goods_view.php?goodsNo=630&mtn=7%5E%7C%5E%ED%83%80%EC%9E%84%EC%84%B8%EC%9D%BC%5E%7C%5En
https://edisoni.kr/
http://www.houseware.co.kr/shop/shopbrand.html?xcode=012&type=X&sort=&mcode=018
https://cafe.dkevent.kr/%EC%97%90%EB%94%94%EC%8A%A8%EC%BB%B5-%EC%9E%AC%EA%B5%AC%EB%A7%A4%EC%9C%A8%EC%9D%B4-%EB%86%92%EC%9D%80-%EC%83%81%ED%92%88-%EC%B6%94%EC%B2%9C-%EC%88%9C%EC%9C%84-%EA%B0%80%EA%B2%A9%EB%B9%84%EA%B5%90/
https://prod.danawa.com/info/?pcode=63034913",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,트레이닝컵,KC 비대상,제품명과 용도와 재질을 기준으로 적용 법령과 공식 인증 정보를 제품별 확인,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0141
338,MASTER-0142,이유식·식기,흡착볼,마더스콘,써니 흡착볼,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,KC 비대상,,과거 누적 Master DB,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://motherscorn.co.kr/product/%EC%8D%A8%EB%8B%88%ED%9D%A1%EC%B0%A9%EB%B3%BC-420ml/488/,"https://motherscorn.co.kr/product/%EC%8D%A8%EB%8B%88%ED%9D%A1%EC%B0%A9%EB%B3%BC-420ml/488/
https://fallcent.com/product/HWcR73HaLpoewjsVNlQz1E527xFDdTnm/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,흡착볼,식품위생법 · 식품용 기구 및 용기·포장 기준 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0142
339,MASTER-0143,이유식·식기,흡착볼,베베락,엘파 실리콘 흡착볼 세트,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,KC 비대상,,과거 누적 Master DB,2026-09-02,"2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했다. 이 제품군에는 어린이제품 KC 번호를 일괄 적용하지 않고, 해당 법령의 제조국·제조사/수입사·안전제도 공식 근거를 추가 확인할 때까지 보류한다. https://prod.danawa.com/info/?pcode=26457119","https://prod.danawa.com/info/?pcode=26457119
https://fallcent.com/product/3HDU8pQmfPd5R0LKHrqDZCaATlOvxXtc/
https://42k.coindeskkorea.com/22319/
https://fallcent.com/product/SJT1kCgdvJ4fjH5pGo1Yzhqb9n7kTNxB/
https://tech-analysis.tistory.com/219
https://verybigcompany.kr/%EB%B2%A0%EB%B2%A0%EB%9D%BD-%EC%97%98%ED%8C%8C-240ml-%EB%B0%80%ED%8F%90-%EC%9D%B4%EC%9C%A0%EC%8B%9D-%EC%9A%A9%EA%B8%B0-4%EA%B0%9C-%EC%8B%A4%EB%A6%AC%EC%BD%98-%EC%8A%A4%ED%91%BC-1%EB%8B%A8%EA%B3%84/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,흡착볼,식품위생법 · 식품용 기구 및 용기·포장 기준 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,법령별 비KC 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0143
340,MASTER-0144,이유식·식기,흡착볼,잼먹,실리콘 흡착볼 이유식 식판,보류,대한민국 🇰🇷,현재 구매 불가,확인 중,과거 누적 공식 월령 재검증 필요,KC 비대상,,과거 누적 Master DB,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/FScM6Nf0ovNeTzHuYqtW8DJOnUVs4hw3/,"https://fallcent.com/product/FScM6Nf0ovNeTzHuYqtW8DJOnUVs4hw3/
https://specs-review.tistory.com/126
https://fallcent.com/product/RN09cVwBfjtsmFGNp8UIX2bPlVD1y5kq/
https://www.daangn.com/kr/buy-sell/%EC%9E%BC%EB%A8%B9-%EC%8B%A4%EB%A6%AC%EC%BD%98-%ED%9D%A1%EC%B0%A9%EC%8B%9D%ED%8C%90-%ED%9D%A1%EC%B0%A9%EB%B3%BC-%EC%9D%B4%EC%9C%A0%EC%8B%9D-%EC%8B%9D%ED%8C%90-%EC%84%B8%ED%8A%B8-2m64nucq1cfe/
https://jammuk.com/
https://blog.naver.com/PostView.naver?blogId=limbomee&logNo=223502822066&redirect=Dlog&widgetTypeCall=true&noTrackingCode=true&directAccess=false",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,흡착볼,식품위생법 · 식품용 기구 및 용기·포장 기준 확인,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,KC 비대상,,,,,,,,,,,,,MASTER-0144
